"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"DK",14,2007,1299000,161000,825000,281000,2566000
"DK",15,2008,1299000,381000,825000,281000,2786000
"DK",16,2009,1299000,408000,825000,281000,2813000
"DK",17,2010,1210620,379309,805238,274269,2669436
"DK",18,2011,1117735,350206,832018,283390,2583349
"DK",19,2012,1117735,350206,832018,283390,2583349
"DK",20,2013,1041545,188583,1215545,734083,3179756
"DK",21,2014,1045818,191833,1337000,881000,3455651
"DK",22,2015,1045818,191833,1337000,881000,3455651
"EE",1,2000,5478000,2519000,979000,825000,9801000
"EE",2,2001,6270000,2882000,1122000,946000,11220000
"EE",3,2002,6446000,3014000,1155000,935000,11550000
"EE",4,2003,6490000,2750000,1100000,1210000,11550000
"EE",5,2004,4180000,1870000,550000,880000,7480000
"EE",6,2005,3377000,1518000,473000,682000,6050000
"EE",7,2006,3190000,1540000,385000,825000,5940000
"EE",8,2007,2613600,1247400,396000,693000,4950000
"EE",9,2008,2747250,1331550,475200,792000,5346000
"EE",10,2009,3034350,1480050,544500,881100,5940000
"EE",11,2010,3920400,1861200,792000,1346400,7920000
"EE",12,2011,4068900,1930500,821700,1395900,8217000
"EE",13,2012,3989700,1910700,792000,1326600,8019000
"EE",14,2013,4647500,2249500,803000,1342000,9042000
"EE",15,2014,4570001,2548334,750200,1127500,8996034
"EE",16,2015,4350001,2355834,764500,1108800,8579134
"FI",1,1999,48105200,6447100,1504800,2943600,59000700
"FI",2,2000,48805629,6356151,1540226,2986035,59688040
"FI",3,2001,45901900,6597800,2195600,2735700,57431000
"FI",4,2002,46726900,6655000,2545236,2800286,58727423
"FI",5,2003,47429800,6740800,2655865,2838012,59664477
"FI",6,2004,47548230,6660713,2780538,2848610,59838092
"FI",7,2005,45020990,6806593,2798205,2849411,57475200
"FI",8,2006,43532773,6540666,2887102,2932238,55892779
"FI",9,2007,49050834,7495464,2838940,2888159,62273397
"FI",10,2008,42473421,8088353,1953178,3222552,55737504
"FI",11,2009,33597653,6773270,1953178,3494357,45818457
"FI",12,2010,42634250,7940101,1953178,3519153,56046682
"FI",13,2011,42190249,7888549,1952984,3811652,55843434
"FI",14,2012,41735683,7339864,1952984,3935107,54963638
"FI",15,2013,45435648,8828896,4054849,4371345,62690738
"FI",16,2014,45542640,8579153,4168417,4446585,62736795
"FI",17,2015,47217162,9373890,4168417,4446588,65206057
"FR",1,1998,17941000,11483000,2795650,25160830,57380480
"FR",2,1999,18176000,11679000,2709240,24383190,56947430
"FR",3,2000,26305000,13171000,2638890,23750050,65864940
"FR",4,2001,22898000,10894000,2594860,23353750,59740610
"FR",5,2002,19847000,9537000,2542870,22885840,54812710
"FR",6,2003,17980000,9479000,2509300,22583730,52552030
"FR",7,2004,18566000,9621000,2472020,22248200,52907220
